[14-Mar-19 - 11:41:06] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 11:41:07] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 11:41:23] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 11:41:44] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 11:41:59] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 11:42:14] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 11:42:29] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 11:55:17] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 11:55:19] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 11:55:38] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 12:01:54] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 12:01:54] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 12:03:52] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 12:03:52] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 12:04:15] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 12:04:15] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 12:06:23] 	 --- 	The data reader is incompatible with the specified 'SmartJawdahModel.PROC_SM_GET_ALL_SETTINGS_Result'. A member of the type, 'RemotePath', does not have a corresponding column in the data reader with the same name.	 --- 	In Method: apiSmartJawdah.Models.BLL.BLLAppsettings
[14-Mar-19 - 12:06:45] 	 --- 	The data reader is incompatible with the specified 'SmartJawdahModel.PROC_SM_GET_ALL_SETTINGS_Result'. A member of the type, 'RemotePath', does not have a corresponding column in the data reader with the same name.	 --- 	In Method: apiSmartJawdah.Models.BLL.BLLAppsettings
[14-Mar-19 - 12:07:11] 	 --- 	The data reader is incompatible with the specified 'SmartJawdahModel.PROC_SM_GET_ALL_SETTINGS_Result'. A member of the type, 'RemotePath', does not have a corresponding column in the data reader with the same name.	 --- 	In Method: apiSmartJawdah.Models.BLL.BLLAppsettings
[14-Mar-19 - 12:08:05] 	 --- 	The data reader is incompatible with the specified 'SmartJawdahModel.PROC_SM_GET_ALL_SETTINGS_Result'. A member of the type, 'RemotePath', does not have a corresponding column in the data reader with the same name.	 --- 	In Method: apiSmartJawdah.Models.BLL.BLLAppsettings
[14-Mar-19 - 12:08:27] 	 --- 	The data reader is incompatible with the specified 'SmartJawdahModel.PROC_SM_GET_ALL_SETTINGS_Result'. A member of the type, 'RemotePath', does not have a corresponding column in the data reader with the same name.	 --- 	In Method: apiSmartJawdah.Models.BLL.BLLAppsettings
[14-Mar-19 - 12:25:49] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 12:25:50] 	 --- 	clientpcname :+9vD+WeFsHswIDWO0PPAbw==	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 12:25:51] 	 --- 	DB_STATUS: Z6iQ0O7pQUCoYfati2inaQ==	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 12:26:10] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 12:59:20] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 12:59:20] 	 --- 	clientpcname :SV155	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 12:59:20] 	 --- 	DB_STATUS: 1	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 12:59:27] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 13:25:22] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:25:37] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:25:52] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:26:08] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:26:23] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:26:38] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:26:53] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:27:08] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:27:23] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:27:39] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:27:54] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:28:09] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:28:24] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:28:40] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:28:55] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:29:10] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:29:36] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:29:37] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 13:29:37] 	 --- 	clientpcname :SV155	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 13:29:37] 	 --- 	DB_STATUS: 1	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 13:29:37] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 13:31:02] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:31:17] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:31:32] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:31:47] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:32:03] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:32:18] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:32:33] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:32:48] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:33:03] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:33:19] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:33:34] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:33:49] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
